RefDes,Name,X (mm),Y (mm),Side,Rotate,Value
B1,1294,25.18,3.65,Bottom,0,
C1,CAP_1206,7.24,50.68,Top,270,4.7uF
C2,CAP_1206,4.99,4.76,Top,0,4.7uF
C3,CAP_1206,10.1,39.88,Top,270,1uF
C4,CAP_1206,10.1,45.54,Top,90,1uF
C5,CAP_1206,10.1,50.78,Top,90,1uF
C6,CAP_1206,10.1,56.49,Top,90,1uF
C7,CAP_1206,39.63,46.49,Top,90,4.7uF
C8,CAP_1206,39.95,57.92,Top,90,2.2uF
C9,CAP_1206,42.77,20.32,Top,0,
C101,CAP_1206,15.5,20.29,Top,90,0.1uF
C102,CAP_1206,28.54,9.37,Top,180,0.1uF
C103,CAP_1206,23.56,31.43,Top,0,0.1uF
C104,CAP_1206,34.52,23.81,Top,0,0.1uF
C301,CAP_1206,7.4,62.2,Top,0,0.1uF
C302,CAP_1206,13.43,62.2,Top,0,0.1uF
C303,CAP_1206,19.46,62.2,Top,0,0.1uF
C304,CAP_1206,25.5,62.2,Top,0,0.1uF
C305,CAP_1206,31.53,62.2,Top,0,0.1uF
C306,CAP_1206,37.56,62.2,Top,0,0.1uF
C307,CAP_1206,43.59,62.23,Top,0,0.1uF
Q1,BSS123LT1,7.2,58.11,Top,180,
R1,RES_1206,3.59,63.95,Top,270,
R2,RES_1206,3.59,56.65,Top,90,
R3,YC164,20.35,7.57,Top,90,10K
R4,RES_1206,38.17,39.85,Top,0,390k
R5,YC164,16.36,34.34,Top,270,10K
R6,YC164,20.35,12.17,Top,90,150
R7,YC164,18.11,29.74,Top,270,150
R8,YC164,28.92,31.7,Top,90,10k
S1,JS202011SCQN,4.75,10.84,Top,0,
S201,EVQQ2B03W,9.4,20.23,Top,90,
S202,EVQQ2B03W,6.38,33.25,Top,90,
U1,AP1117-5.0,4.14,43.7,Top,0,5
U2,AP1117-3.3,13.51,7.35,Top,0,3.3
U3,TC2050-NL,43.91,47.94,Top,90,
U4,oled096,25.01,45.88,Bottom,180,
U5,NX8045GB-5MHZ-STD-CSF-3,42.8,24.61,Top,180,
U6,RFM69HCW,41.55,10.2,Top,0,
U7,TC2030-NL,34.55,30.8,Top,90,
U101,P8X32A-Q44,25.01,21.56,Top,0,
U102,24LC256ST,23.48,36.02,Top,0,
U204,SKQUDBE010,42.98,32.94,Top,0,5 Way Joystick
U302,WS2811,31.04,67.22,Top,90,
U303,WS2811,18.98,67.22,Top,90,
U304,WS2811,25.01,67.22,Top,90,
U305,WS2811,37.07,67.22,Top,90,
U306,WS2811,6.91,67.22,Top,90,
U307,WS2811,12.94,67.22,Top,90,
U308,WS2811,43.11,67.22,Top,90,
